youtube_id,start_seconds,label,split
VbjYx2xzj20,60,"bird chirping, tweeting",train
hksl0iXZlqg,20,"bird chirping, tweeting",train
hrF52e8554Y,30,"bird chirping, tweeting",train
dB1Q_knfSng,60,"bird chirping, tweeting",train
O0qBqHOYQXs,120,"bird chirping, tweeting",train
e5mHdmvF8uc,140,"bird chirping, tweeting",train
bCWonol-3so,50,"bird chirping, tweeting",train
V8XdThKHUFw,30,"bird chirping, tweeting",train
prRhgN7DdLs,30,"bird chirping, tweeting",train
7JEz5xYZR4E,30,"bird chirping, tweeting",train
mj1qZthe7FQ,30,"bird chirping, tweeting",train
3ZhanyZSPOc,330,"bird chirping, tweeting",train
beGtzorLVOk,30,"bird chirping, tweeting",train
y2bOGbNeDF4,0,"bird chirping, tweeting",train
uyixLLMg3Xo,50,"bird chirping, tweeting",train
sYdlHiinFnk,10,"bird chirping, tweeting",train
G-8nwFvA_Ic,30,"bird chirping, tweeting",train
rVk7KhpEAx8,12,"bird chirping, tweeting",train
jZDwjwK-0fQ,55,"bird chirping, tweeting",train
IPnzDZ-BGPM,30,"bird chirping, tweeting",train
XYQZFbUqGVY,40,"bird chirping, tweeting",train
9bNTnSx8eFY,240,"bird chirping, tweeting",train
Lr_pKhp6lXI,40,"bird chirping, tweeting",train
Vy5Jn5HWC1k,0,"bird chirping, tweeting",train
C7D2v0BUzYc,0,"bird chirping, tweeting",train
DZ1BdVqan9U,320,"bird chirping, tweeting",train
57RsoPeW8vs,10,"bird chirping, tweeting",train
yiEyE2uaLks,110,"bird chirping, tweeting",train
sm_ADflSf80,1,"bird chirping, tweeting",train
vgG6DwsHKr0,20,"bird chirping, tweeting",train
KM9AHOXhu1A,83,"bird chirping, tweeting",train
7WL9Orh7auA,351,"bird chirping, tweeting",train
an9qioJSdPA,45,"bird chirping, tweeting",train
US8IiSO3diA,30,"bird chirping, tweeting",train
LiN230GLuRw,30,"bird chirping, tweeting",train
B4R_7B2l9ZU,74,"bird chirping, tweeting",train
eWAcGZWSY-0,40,"bird chirping, tweeting",train
ZZp_MfYE7HQ,40,"bird chirping, tweeting",train
smTiGSAko_o,0,"bird chirping, tweeting",train
2LPX9YZ0K1c,160,"bird chirping, tweeting",train
J3XbLQ4IEJM,20,"bird chirping, tweeting",train
5-R49C78Lp0,8,"bird chirping, tweeting",train
I755otRJJuM,40,"bird chirping, tweeting",train
y3SRx_IGrA8,340,"bird chirping, tweeting",train
H22iylZkzOU,30,"bird chirping, tweeting",train
FvK-20L5XSw,417,"bird chirping, tweeting",train
tsUtiptmTdE,0,"bird chirping, tweeting",train
_Zd6Iy4JuGk,74,"bird chirping, tweeting",train
PdpvpKt-r7k,53,"bird chirping, tweeting",train
ohUr3MAPClY,20,"bird chirping, tweeting",train
YV53PYId_Xg,30,"bird chirping, tweeting",train
rMPlsseDPoI,30,"bird chirping, tweeting",train
F06oyJAn2RI,78,"bird chirping, tweeting",train
Z4wGRv2-7_U,240,"bird chirping, tweeting",train
0102_FBc_70,0,"bird chirping, tweeting",train
0ZVII_Np0ME,2,"bird chirping, tweeting",train
aVuv3OvZtPM,10,"bird chirping, tweeting",train
-ZbSjOGb_sA,210,"bird chirping, tweeting",train
CdBJlUx_UZo,70,"bird chirping, tweeting",train
nNjTj8jNwQE,100,"bird chirping, tweeting",train
GsWEKXXlko4,350,"bird chirping, tweeting",train
24HRi054dAY,31,"bird chirping, tweeting",train
XEw5hCSPCXA,16380,"bird chirping, tweeting",train
C3ausLGl6Io,20,"bird chirping, tweeting",train
_ectpPOax4k,30,"bird chirping, tweeting",train
epy9tDPZLbQ,9,"bird chirping, tweeting",train
dQ4-VFYutHk,10,"bird chirping, tweeting",train
