label,proportion
typing on computer keyboard,0.060347455044193844
raining,0.06309052118256629
dog barking,0.0643096616885096
cat meowing,0.06522401706796709
thunder,0.0664431575739104
"bird chirping, tweeting",0.06674794270039622
"female speech, woman speaking",0.06705272782688204
people crowd,0.06705272782688204
train horning,0.06735751295336788
ocean burbling,0.0676622980798537
car engine knocking,0.06827186833282536
playing piano,0.06827186833282536
helicopter,0.06827186833282536
waterfall burbling,0.06949100883876867
playing acoustic guitar,0.07040536421822616
