status,youtube_id,label,split,frame_dir,audio_path
success,jU0LDjmqrRw,ocean burbling,test,processed_vggsound/test/frames/ocean_burbling/jU0LDjmqrRw_30,processed_vggsound/test/audio/ocean_burbling/jU0LDjmqrRw_30.wav
success,IGilUdalDOg,helicopter,train,processed_vggsound/train/frames/helicopter/IGilUdalDOg_30,processed_vggsound/train/audio/helicopter/IGilUdalDOg_30.wav
success,CSQ6B4PGVKg,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/CSQ6B4PGVKg_580,processed_vggsound/train/audio/bird_chirping__tweeting/CSQ6B4PGVKg_580.wav
success,3yt8xEb1VXA,raining,test,processed_vggsound/test/frames/raining/3yt8xEb1VXA_200,processed_vggsound/test/audio/raining/3yt8xEb1VXA_200.wav
success,7yXROxIZfeo,raining,train,processed_vggsound/train/frames/raining/7yXROxIZfeo_300,processed_vggsound/train/audio/raining/7yXROxIZfeo_300.wav
success,pEiTG7y-lPg,playing piano,train,processed_vggsound/train/frames/playing_piano/pEiTG7y-lPg_150,processed_vggsound/train/audio/playing_piano/pEiTG7y-lPg_150.wav
success,TC3Z6NuoFz8,thunder,test,processed_vggsound/test/frames/thunder/TC3Z6NuoFz8_460,processed_vggsound/test/audio/thunder/TC3Z6NuoFz8_460.wav
success,glBOvRYpXOw,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/glBOvRYpXOw_10,processed_vggsound/train/audio/waterfall_burbling/glBOvRYpXOw_10.wav
success,12LeM3284C8,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/12LeM3284C8_28,processed_vggsound/train/audio/waterfall_burbling/12LeM3284C8_28.wav
success,SF4RW3G8vpU,ocean burbling,train,processed_vggsound/train/frames/ocean_burbling/SF4RW3G8vpU_30,processed_vggsound/train/audio/ocean_burbling/SF4RW3G8vpU_30.wav
success,Ok9nPRCJgp4,ocean burbling,train,processed_vggsound/train/frames/ocean_burbling/Ok9nPRCJgp4_560,processed_vggsound/train/audio/ocean_burbling/Ok9nPRCJgp4_560.wav
success,ppH_JZLMsXI,cat meowing,train,processed_vggsound/train/frames/cat_meowing/ppH_JZLMsXI_30,processed_vggsound/train/audio/cat_meowing/ppH_JZLMsXI_30.wav
success,IHw2Wom8yLA,cat meowing,train,processed_vggsound/train/frames/cat_meowing/IHw2Wom8yLA_17,processed_vggsound/train/audio/cat_meowing/IHw2Wom8yLA_17.wav
success,TMUtk3sB_pg,playing piano,train,processed_vggsound/train/frames/playing_piano/TMUtk3sB_pg_310,processed_vggsound/train/audio/playing_piano/TMUtk3sB_pg_310.wav
success,W-NXVXk1g6c,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/W-NXVXk1g6c_30,processed_vggsound/train/audio/typing_on_computer_keyboard/W-NXVXk1g6c_30.wav
success,b59MOkvIiv4,cat meowing,train,processed_vggsound/train/frames/cat_meowing/b59MOkvIiv4_20,processed_vggsound/train/audio/cat_meowing/b59MOkvIiv4_20.wav
success,ldj4cQtZMxU,helicopter,train,processed_vggsound/train/frames/helicopter/ldj4cQtZMxU_280,processed_vggsound/train/audio/helicopter/ldj4cQtZMxU_280.wav
success,XS_Nwd8dxE0,"bird chirping, tweeting",test,processed_vggsound/test/frames/bird_chirping__tweeting/XS_Nwd8dxE0_30,processed_vggsound/test/audio/bird_chirping__tweeting/XS_Nwd8dxE0_30.wav
success,CQGQV-JxPoI,cat meowing,test,processed_vggsound/test/frames/cat_meowing/CQGQV-JxPoI_30,processed_vggsound/test/audio/cat_meowing/CQGQV-JxPoI_30.wav
success,QBMDnMRwQCc,helicopter,test,processed_vggsound/test/frames/helicopter/QBMDnMRwQCc_70,processed_vggsound/test/audio/helicopter/QBMDnMRwQCc_70.wav
success,toi7wTemtks,people crowd,train,processed_vggsound/train/frames/people_crowd/toi7wTemtks_210,processed_vggsound/train/audio/people_crowd/toi7wTemtks_210.wav
success,2t8rYnARZuI,raining,test,processed_vggsound/test/frames/raining/2t8rYnARZuI_30,processed_vggsound/test/audio/raining/2t8rYnARZuI_30.wav
success,AZSGKyV5424,dog barking,train,processed_vggsound/train/frames/dog_barking/AZSGKyV5424_0,processed_vggsound/train/audio/dog_barking/AZSGKyV5424_0.wav
success,P4KxPBgPCwo,playing piano,train,processed_vggsound/train/frames/playing_piano/P4KxPBgPCwo_230,processed_vggsound/train/audio/playing_piano/P4KxPBgPCwo_230.wav
success,s6L91i8vX90,"bird chirping, tweeting",train,processed_vggsound/train/frames/bird_chirping__tweeting/s6L91i8vX90_10,processed_vggsound/train/audio/bird_chirping__tweeting/s6L91i8vX90_10.wav
success,UekNgGYeivc,"female speech, woman speaking",train,processed_vggsound/train/frames/female_speech__woman_speaking/UekNgGYeivc_330,processed_vggsound/train/audio/female_speech__woman_speaking/UekNgGYeivc_330.wav
success,STdAr1JNXIU,helicopter,test,processed_vggsound/test/frames/helicopter/STdAr1JNXIU_190,processed_vggsound/test/audio/helicopter/STdAr1JNXIU_190.wav
success,rmxRhByMBMU,car engine knocking,test,processed_vggsound/test/frames/car_engine_knocking/rmxRhByMBMU_30,processed_vggsound/test/audio/car_engine_knocking/rmxRhByMBMU_30.wav
success,S6-B6QfvS-I,waterfall burbling,test,processed_vggsound/test/frames/waterfall_burbling/S6-B6QfvS-I_200,processed_vggsound/test/audio/waterfall_burbling/S6-B6QfvS-I_200.wav
success,DIkH3opVS8o,raining,test,processed_vggsound/test/frames/raining/DIkH3opVS8o_30,processed_vggsound/test/audio/raining/DIkH3opVS8o_30.wav
success,HJwkLcIU264,thunder,train,processed_vggsound/train/frames/thunder/HJwkLcIU264_110,processed_vggsound/train/audio/thunder/HJwkLcIU264_110.wav
success,0jZtLuEdjrk,"female speech, woman speaking",train,processed_vggsound/train/frames/female_speech__woman_speaking/0jZtLuEdjrk_110,processed_vggsound/train/audio/female_speech__woman_speaking/0jZtLuEdjrk_110.wav
success,1vltb9mcfGs,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/1vltb9mcfGs_140,processed_vggsound/train/audio/waterfall_burbling/1vltb9mcfGs_140.wav
success,when3v7NVFk,train horning,test,processed_vggsound/test/frames/train_horning/when3v7NVFk_0,processed_vggsound/test/audio/train_horning/when3v7NVFk_0.wav
success,03hFQ4wxzRE,train horning,train,processed_vggsound/train/frames/train_horning/03hFQ4wxzRE_87,processed_vggsound/train/audio/train_horning/03hFQ4wxzRE_87.wav
success,XB91HNUSyX0,waterfall burbling,train,processed_vggsound/train/frames/waterfall_burbling/XB91HNUSyX0_68,processed_vggsound/train/audio/waterfall_burbling/XB91HNUSyX0_68.wav
success,i11l-FPNzNY,car engine knocking,train,processed_vggsound/train/frames/car_engine_knocking/i11l-FPNzNY_10,processed_vggsound/train/audio/car_engine_knocking/i11l-FPNzNY_10.wav
success,J4EEe8mRfQE,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/J4EEe8mRfQE_52,processed_vggsound/train/audio/typing_on_computer_keyboard/J4EEe8mRfQE_52.wav
success,O2HttJtcec4,playing acoustic guitar,test,processed_vggsound/test/frames/playing_acoustic_guitar/O2HttJtcec4_30,processed_vggsound/test/audio/playing_acoustic_guitar/O2HttJtcec4_30.wav
success,iTPVDE5y8XQ,dog barking,train,processed_vggsound/train/frames/dog_barking/iTPVDE5y8XQ_40,processed_vggsound/train/audio/dog_barking/iTPVDE5y8XQ_40.wav
success,XftMCb6LWBI,"bird chirping, tweeting",test,processed_vggsound/test/frames/bird_chirping__tweeting/XftMCb6LWBI_20,processed_vggsound/test/audio/bird_chirping__tweeting/XftMCb6LWBI_20.wav
success,uyWu-lciSkk,people crowd,train,processed_vggsound/train/frames/people_crowd/uyWu-lciSkk_500,processed_vggsound/train/audio/people_crowd/uyWu-lciSkk_500.wav
success,4O-dYCrVKLY,typing on computer keyboard,test,processed_vggsound/test/frames/typing_on_computer_keyboard/4O-dYCrVKLY_30,processed_vggsound/test/audio/typing_on_computer_keyboard/4O-dYCrVKLY_30.wav
success,jjD505NAVpw,typing on computer keyboard,train,processed_vggsound/train/frames/typing_on_computer_keyboard/jjD505NAVpw_0,processed_vggsound/train/audio/typing_on_computer_keyboard/jjD505NAVpw_0.wav
success,-vZ-_4oFCzs,cat meowing,test,processed_vggsound/test/frames/cat_meowing/-vZ-_4oFCzs_17,processed_vggsound/test/audio/cat_meowing/-vZ-_4oFCzs_17.wav
success,bKRZY9fZMcM,people crowd,train,processed_vggsound/train/frames/people_crowd/bKRZY9fZMcM_480,processed_vggsound/train/audio/people_crowd/bKRZY9fZMcM_480.wav
success,0439dMJj-FY,thunder,test,processed_vggsound/test/frames/thunder/0439dMJj-FY_30,processed_vggsound/test/audio/thunder/0439dMJj-FY_30.wav
success,d0_bq9nl5fg,helicopter,train,processed_vggsound/train/frames/helicopter/d0_bq9nl5fg_120,processed_vggsound/train/audio/helicopter/d0_bq9nl5fg_120.wav
